Aces,Break Points Won,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
2,9,2,35/58 (60%),N.DJOKOVIC,12/20 (60%),61,84,22,26/35 (74%),61,32,199,186,151
2,2,5,48/72 (67%),M.YMER,10/17 (59%),31,46,27,20/48 (42%),33,12,195,176,148
2,0,0,73/93 (78%),H.DELLIEN,8/14 (57%),33,86,17,44/73 (60%),40,16,,,
3,4,1,56/102 (55%),R.BERANKIS,34/48 (71%),44,109,27,46/56 (82%),48,56,,,
6,11,0,111/169 (66%),DE.GALAN,20/29 (69%),49,169,55,70/111 (63%),45,55,,,
2,7,6,99/148 (67%),C.NORRIE,27/41 (66%),43,148,69,54/99 (55%),43,40,,,
14,6,7,112/186 (60%),T.SANDGREN,42/68 (62%),38,190,51,74/112 (66%),55,62,202,179,147
10,7,8,123/200 (62%),H.HURKACZ,31/44 (70%),38,196,77,86/123 (70%),51,66,207,178,136
7,5,4,73/119 (61%),C.GARIN,21/31 (68%),39,131,47,53/73 (73%),57,45,,,
1,2,3,70/132 (53%),P.KOHLSCHREIBER,19/31 (61%),34,120,25,43/70 (61%),60,27,,,
8,1,5,76/115 (66%),U.HUMBERT,12/35 (34%),33,107,45,55/76 (72%),33,46,198,177,142
3,5,1,86/118 (73%),M.POLMANS,26/32 (81%),41,126,31,61/86 (71%),56,39,195,180,150
14,6,1,76/102 (75%),J.VESELY,15/19 (79%),44,132,23,58/76 (76%),62,36,,,
3,2,1,82/132 (62%),L.BROADY,12/17 (71%),27,102,46,55/82 (67%),38,37,,,
8,2,2,56/93 (60%),K.MAJCHRZAK,15/24 (63%),31,82,40,36/56 (64%),49,38,205,180,147
6,5,2,65/90 (72%),K.KHACHANOV,8/17 (47%),42,101,22,51/65 (78%),44,32,197,181,154
6,8,0,52/79 (66%),R.BAUTISTA AGUT,11/14 (79%),50,104,19,35/52 (67%),56,32,190,174,132
1,3,4,64/108 (59%),R.GASQUET,20/29 (69%),37,83,49,38/64 (59%),36,45,202,163,136
6,1,3,63/102 (62%),Y.UCHIYAMA,17/32 (53%),29,79,33,41/63 (65%),36,36,202,184,150
3,5,3,50/83 (60%),A.BALAZS,9/12 (75%),46,106,23,39/50 (78%),61,30,196,168,148
9,7,3,106/158 (67%),G.PELLA,12/17 (71%),40,164,67,75/106 (71%),50,36,,,
5,5,3,99/156 (63%),S.CARUSO,21/32 (66%),36,150,56,62/99 (63%),54,41,,,
1,3,2,62/109 (57%),J.MILLMAN,15/23 (65%),36,81,33,37/62 (60%),32,24,193,174,137
4,8,0,55/80 (69%),P.CARRENO BUSTA,12/22 (55%),52,108,28,37/55 (67%),56,34,197,172,117
23,6,4,94/161 (58%),JL.STRUFF,35/61 (57%),40,184,61,67/94 (71%),57,69,,,
10,3,4,111/197 (56%),F.TIAFOE,19/32 (59%),35,174,52,75/111 (68%),50,51,,,
10,5,1,63/107 (59%),D.ALTMAIER,16/23 (70%),45,126,29,45/63 (71%),57,41,,,
11,3,3,70/124 (56%),F.LOPEZ,25/43 (58%),35,105,40,40/70 (57%),52,37,,,
17,2,1,68/95 (72%),L.HARRIS,8/16 (50%),33,106,16,56/68 (82%),63,45,,,
7,0,7,67/101 (66%),A.POPYRIN,20/25 (80%),23,90,36,51/67 (76%),50,33,,,
